a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
512,0,1,global,mission_diff_pro,CP_CHALLENGES_MISSION_DIFFICULTY_PROLOGUE,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_pro,,,,missions,,,,,,,,
513,0,1,global,mission_diff_new,CP_CHALLENGES_MISSION_DIFFICULTY_NEWWORLD,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_new,,,,missions,,,,,,,,
514,0,1,global,mission_diff_bla,CP_CHALLENGES_MISSION_DIFFICULTY_BLACKSTATION,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_bla,,,,missions,,,,,,,,
515,0,1,global,mission_diff_bio,CP_CHALLENGES_MISSION_DIFFICULTY_BIODOMES,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_bio,,,,missions,,,,,,,,
516,0,1,global,mission_diff_sge,CP_CHALLENGES_MISSION_DIFFICULTY_SGEN,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_sge,,,,missions,,,,,,,,
517,0,1,global,mission_diff_ven,CP_CHALLENGES_MISSION_DIFFICULTY_VENGEANCE,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_ven,,,,missions,,,,,,,,
518,0,1,global,mission_diff_ram,CP_CHALLENGES_MISSION_DIFFICULTY_RAMSES,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_ram,,,,missions,,,,,,,,
519,0,1,global,mission_diff_inf,CP_CHALLENGES_MISSION_DIFFICULTY_INFECTION,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_inf,,,,missions,,,,,,,,
520,0,1,global,mission_diff_aqu,CP_CHALLENGES_MISSION_DIFFICULTY_AQUIFERS,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_aqu,,,,missions,,,,,,,,
521,0,1,global,mission_diff_lot,CP_CHALLENGES_MISSION_DIFFICULTY_LOTUS,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_lot,,,,missions,,,,,,,,
522,0,1,global,mission_diff_zur,CP_CHALLENGES_MISSION_DIFFICULTY_ZURICH,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_zur,,,,missions,,,,,,,,
523,0,1,global,mission_diff_nodeaths,CP_CHALLENGES_MISSION_DIFFICULTY_NODEATHS,500,,,,conf_gamemode_mastery,,EM_BACK_MISSIONS_nodeaths,,,,missions,,,,,,,,
524,0,12,global,conf_gamemode_mastery,CP_CHALLENGES_MISSION_DIFFICULTY_MASTERY,2000,,,,koth_gamemode_mastery,,EM_BACK_MISSIONS_mastery,,,,missions,,1,,,,,,
525,0,100,global,cybercom_uses_control,CP_CHALLENGES_TOTT_USES_CONTROL,250,,,,,,,,,,tott,,,,,,,,
526,1,250,global,cybercom_uses_control,CP_CHALLENGES_TOTT_USES_CONTROL,500,,,,,,,,,,tott,,,,,,,,
527,2,500,global,cybercom_uses_control,CP_CHALLENGES_TOTT_USES_CONTROL,1000,,,,hq_gamemode_mastery,,EM_BACK_TOTT_uses_control,,,,tott,,,,,,,,
528,0,100,global,cybercom_uses_martial,CP_CHALLENGES_TOTT_USES_MARTIAL,250,,,,,,,,,,tott,,,,,,,,
529,1,250,global,cybercom_uses_martial,CP_CHALLENGES_TOTT_USES_MARTIAL,500,,,,,,,,,,tott,,,,,,,,
530,2,500,global,cybercom_uses_martial,CP_CHALLENGES_TOTT_USES_MARTIAL,1000,,,,hq_gamemode_mastery,,EM_BACK_TOTT_uses_martial,,,,tott,,,,,,,,
531,0,100,global,cybercom_uses_chaos,CP_CHALLENGES_TOTT_USES_CHAOS,250,,,,,,,,,,tott,,,,,,,,
532,1,250,global,cybercom_uses_chaos,CP_CHALLENGES_TOTT_USES_CHAOS,500,,,,,,,,,,tott,,,,,,,,
533,2,500,global,cybercom_uses_chaos,CP_CHALLENGES_TOTT_USES_CHAOS,1000,,,,hq_gamemode_mastery,,EM_BACK_TOTT_uses_chaos,,,,tott,,,,,,,,
534,0,25,global,cybercom_uses_remotehijack,CP_CHALLENGES_TOTT_REMOTEHIJACK,250,,,,,,,,,,tott,,,,,,,,
535,1,60,global,cybercom_uses_remotehijack,CP_CHALLENGES_TOTT_REMOTEHIJACK,500,,,,,,,,,,tott,,,,,,,,
536,2,100,global,cybercom_uses_remotehijack,CP_CHALLENGES_TOTT_REMOTEHIJACK,1000,,,,hq_gamemode_mastery,,EM_BACK_TOTT_remotehijack,,,,tott,,,,,,,,
537,0,25,global,cybercom_uses_rapidstrike,CP_CHALLENGES_TOTT_RAPIDSTRIKE,250,,,,,,,,,,tott,,,,,,,,
